date,period_ending_time,system_demand_actual,nem_demand_actual,nem_demand_forecast
2012-02-06,00:30,4526.68,na,na
2012-02-06,01:00,4436.09,na,na
2012-02-06,01:30,4361.24,na,na
2012-02-06,02:00,4295.23,na,na
2012-02-06,02:30,4233.17,na,na
2012-02-06,03:00,4191.87,na,na
2012-02-06,03:30,4152.72,na,na
2012-02-06,04:00,4150.75,na,na
2012-02-06,04:30,4117.67,na,na
2012-02-06,05:00,4125.43,na,na
2012-02-06,05:30,4186.17,na,na
2012-02-06,06:00,4310.35,na,na
2012-02-06,06:30,4512.14,na,na
2012-02-06,07:00,4682.54,na,na
2012-02-06,07:30,4839.16,na,na
2012-02-06,08:00,5061.61,na,na
2012-02-06,08:30,5400.81,na,na
2012-02-06,09:00,5676.32,na,na
2012-02-06,09:30,5745.17,na,na
2012-02-06,10:00,5974.43,na,na
2012-02-06,10:30,6046.07,na,na
2012-02-06,11:00,6126.2,na,na
2012-02-06,11:30,6146.5,na,na
2012-02-06,12:00,6125.83,na,na
2012-02-06,12:30,6068.09,na,na
2012-02-06,13:00,6062.07,na,na
2012-02-06,13:30,6123.76,na,na
2012-02-06,14:00,6176.78,na,na
2012-02-06,14:30,6209.44,na,na
2012-02-06,15:00,6204.74,na,na
2012-02-06,15:30,6178.54,na,na
2012-02-06,16:00,6183.93,na,na
2012-02-06,16:30,6184.18,na,na
2012-02-06,17:00,6179,na,na
2012-02-06,17:30,6121.32,na,na
2012-02-06,18:00,6001.79,na,na
2012-02-06,18:30,5854.44,na,na
2012-02-06,19:00,5818.54,na,na
2012-02-06,19:30,5814.16,na,na
2012-02-06,20:00,5783.18,na,na
2012-02-06,20:30,5741.45,na,na
2012-02-06,21:00,5685.12,na,na
2012-02-06,21:30,5594.93,na,na
2012-02-06,22:00,5494.57,na,na
2012-02-06,22:30,5320,na,na
2012-02-06,23:00,5169.66,na,na
2012-02-06,23:30,5006.98,na,na
2012-02-07,00:00,4885.77,na,na
2012-02-07,00:30,4713.93,na,na
2012-02-07,01:00,4590.07,na,na
2012-02-07,01:30,4500.65,na,na
2012-02-07,02:00,4439.2,na,na
2012-02-07,02:30,4369.02,na,na
2012-02-07,03:00,4333.7,na,na
2012-02-07,03:30,4296.3,na,na
2012-02-07,04:00,4274.87,na,na
2012-02-07,04:30,4267.18,na,na
2012-02-07,05:00,4267.24,na,na
2012-02-07,05:30,4318.4,na,na
2012-02-07,06:00,4442.35,na,na
2012-02-07,06:30,4633.14,na,na
2012-02-07,07:00,4770.84,na,na
2012-02-07,07:30,4896.45,na,na
2012-02-07,08:00,5108.04,na,na
2012-02-07,08:30,5414.83,na,na
2012-02-07,09:00,5654.13,na,na
2012-02-07,09:30,5825.98,na,na
2012-02-07,10:00,5929.95,na,na
2012-02-07,10:30,6006.98,na,na
2012-02-07,11:00,6089.31,na,na
2012-02-07,11:30,6104.17,na,na
2012-02-07,12:00,6097.1,na,na
2012-02-07,12:30,6023.8,na,na
2012-02-07,13:00,6014.26,na,na
2012-02-07,13:30,6081.49,na,na
2012-02-07,14:00,6147.85,na,na
2012-02-07,14:30,6176.3,na,na
2012-02-07,15:00,6169.65,na,na
2012-02-07,15:30,6139.73,na,na
2012-02-07,16:00,6174.62,na,na
2012-02-07,16:30,6156.83,na,na
2012-02-07,17:00,6152.79,na,na
2012-02-07,17:30,6129.25,na,na
2012-02-07,18:00,5996.62,na,na
2012-02-07,18:30,5826.48,na,na
2012-02-07,19:00,5781.16,na,na
2012-02-07,19:30,5788.64,na,na
2012-02-07,20:00,5786.81,na,na
2012-02-07,20:30,5758,na,na
2012-02-07,21:00,5700.27,na,na
2012-02-07,21:30,5629.37,na,na
2012-02-07,22:00,5505.55,na,na
2012-02-07,22:30,5339.41,na,na
2012-02-07,23:00,5183.26,na,na
2012-02-07,23:30,5037.84,na,na
2012-02-08,00:00,4894.25,na,na
2012-02-08,00:30,4737.67,na,na
2012-02-08,01:00,4606.11,na,na
2012-02-08,01:30,4519.74,na,na
2012-02-08,02:00,4458.48,na,na
2012-02-08,02:30,4401.93,na,na
2012-02-08,03:00,4348.25,na,na
2012-02-08,03:30,4309.41,na,na
2012-02-08,04:00,4275.39,na,na
2012-02-08,04:30,4262.37,na,na
2012-02-08,05:00,4282.57,na,na
2012-02-08,05:30,4302.76,na,na
2012-02-08,06:00,4454.73,na,na
2012-02-08,06:30,4638.88,na,na
2012-02-08,07:00,4792.02,na,na
2012-02-08,07:30,4878.51,na,na
2012-02-08,08:00,5095.88,na,na
2012-02-08,08:30,5406.58,na,na
2012-02-08,09:00,5658.16,na,na
2012-02-08,09:30,5825.33,na,na
2012-02-08,10:00,5940.8,na,na
2012-02-08,10:30,6003.82,na,na
2012-02-08,11:00,6084.11,na,na
2012-02-08,11:30,6118.08,na,na
2012-02-08,12:00,6093.83,na,na
2012-02-08,12:30,6026.91,na,na
2012-02-08,13:00,6010.77,na,na
2012-02-08,13:30,6044.2,na,na
2012-02-08,14:00,6113.53,na,na
2012-02-08,14:30,6122.87,na,na
2012-02-08,15:00,6128.61,na,na
2012-02-08,15:30,6115.58,na,na
2012-02-08,16:00,6156.38,na,na
2012-02-08,16:30,6158.9,na,na
2012-02-08,17:00,6150.68,na,na
2012-02-08,17:30,6100.98,na,na
2012-02-08,18:00,5996.82,na,na
2012-02-08,18:30,5809.8,na,na
2012-02-08,19:00,5764.04,na,na
2012-02-08,19:30,5800.29,na,na
2012-02-08,20:00,5798.82,na,na
2012-02-08,20:30,5742.33,na,na
2012-02-08,21:00,5671.98,na,na
2012-02-08,21:30,5599.79,na,na
2012-02-08,22:00,5482.96,na,na
2012-02-08,22:30,5290.36,na,na
2012-02-08,23:00,5146.01,na,na
2012-02-08,23:30,4994.45,na,na
2012-02-09,00:00,4847.13,na,na
2012-02-09,00:30,4703.83,na,na
2012-02-09,01:00,4581.63,na,na
2012-02-09,01:30,4497.38,na,na
2012-02-09,02:00,4421.77,na,na
2012-02-09,02:30,4361.9,na,na
2012-02-09,03:00,4306.6,na,na
2012-02-09,03:30,4267.88,na,na
2012-02-09,04:00,4245.26,na,na
2012-02-09,04:30,4233.36,na,na
2012-02-09,05:00,4232.25,na,na
2012-02-09,05:30,4283.95,na,na
2012-02-09,06:00,4393.1,na,na
2012-02-09,06:30,4585.49,na,na
2012-02-09,07:00,4724.1,na,na
2012-02-09,07:30,4828.28,na,na
2012-02-09,08:00,5031.68,na,na
2012-02-09,08:30,5335.48,na,na
2012-02-09,09:00,5575.58,na,na
2012-02-09,09:30,5743.85,na,na
2012-02-09,10:00,5861.96,na,na
2012-02-09,10:30,5954.55,na,na
2012-02-09,11:00,6018.61,na,na
2012-02-09,11:30,6056.14,na,na
2012-02-09,12:00,6035.23,na,na
2012-02-09,12:30,5966.04,na,na
2012-02-09,13:00,5949.27,na,na
2012-02-09,13:30,6012.44,na,na
2012-02-09,14:00,6069.57,na,na
2012-02-09,14:30,6099.7,na,na
2012-02-09,15:00,6112.64,na,na
2012-02-09,15:30,6101.86,na,na
2012-02-09,16:00,6108.1,na,na
2012-02-09,16:30,6114.26,na,na
2012-02-09,17:00,6096.2,na,na
2012-02-09,17:30,6053.32,na,na
2012-02-09,18:00,5938.72,na,na
2012-02-09,18:30,5776.38,na,na
2012-02-09,19:00,5734.6,na,na
2012-02-09,19:30,5747.41,na,na
2012-02-09,20:00,5752.04,na,na
2012-02-09,20:30,5707.38,na,na
2012-02-09,21:00,5659.52,na,na
2012-02-09,21:30,5577.86,na,na
2012-02-09,22:00,5464.77,na,na
